countyFIPS,state,perc_lowedu
5079,AR,18.91603660583496
5081,AR,11.042098045349121
5083,AR,13.769678115844727
5085,AR,10.871637344360352
5087,AR,19.357725143432617
5089,AR,13.492063522338867
5091,AR,13.546407699584961
5093,AR,18.850685119628906
5095,AR,21.14467430114746
5097,AR,20.203380584716797
5099,AR,9.615056037902832
5101,AR,13.517289161682129
5103,AR,13.95604419708252
5105,AR,15.154439926147461
5107,AR,19.72664451599121
5109,AR,12.611295700073242
5111,AR,19.666093826293945
5113,AR,15.078630447387695
5115,AR,15.520604133605957
5117,AR,16.79491424560547
5119,AR,9.648567199707031
5121,AR,17.110857009887695
5123,AR,18.08083152770996
5125,AR,9.3784761428833
5127,AR,20.860122680664062
5129,AR,18.246158599853516
5131,AR,15.937698364257812
5133,AR,23.488676071166992
5135,AR,16.54038429260254
5137,AR,18.84356689453125
5139,AR,15.054366111755371
5141,AR,14.875357627868652
5143,AR,14.998581886291504
5145,AR,15.60421085357666
5147,AR,18.29686737060547
5149,AR,21.7976131439209
6000,CA,16.692171096801758
6001,CA,11.556953430175781
6003,CA,8.831169128417969
6005,CA,9.981844902038574
