statecode,countyFIPS,alldeath_may21,coviddeath_20_nyt,FI_2019,FI_20_pred,total_pop,perc_male,perc_85more,perc_65more,perc_65more_m,perc_65more_f,perc_inc10less,perc_inc15less,perc_inc25less,perc_SSI,perc_SNAP,perc_black,perc_asian,perc_hispanic,perc_lowedu,ln_medincome,perc_poverty,covidcase_20_nyt,Number of All Beds,Total Number of Occupied Beds,univ_dummy,cases,region,Division,state,CENSUSAREA,pop_density_kh2,Y_perc_alldeath_may21,Y_perc_coviddeath_nyt,perc_covidcase_nyt,perc_allbed,perc_occupiedbed
IA,19151,110.0,12.0,0.091,0.107,6898.0,0.4905769788344448,0.037257175993041465,0.2258625688605393,0.10292838503914177,0.12293418382139752,0.046489859594383766,0.1185647425897036,0.2336973478939157,0.06209048361934477,0.12,0.006378660481298927,0.015221803421281531,0.03667729776746883,0.07812179565429686,10.935710719873047,0.09481008988112496,724.0,43.0,31.549019607843142,0.0,0.0,Midwest,West North Central,IA,577.241,0.1194994811525862,0.015946651203247317,0.0017396346767178893,0.10495795882864599,0.00623369092490577,0.0045736473771880466
IA,19153,7529.0,410.0,0.08199999999999999,0.109,474274.0,0.4925401771971477,0.015459417973576457,0.12427204527340735,0.0537031336316138,0.07056891164179356,0.04774343820236949,0.08295918978193552,0.15964909416444906,0.042502707438790116,0.127,0.06552330509368003,0.04534931284447387,0.08241227644779177,0.0847933578491211,11.117376033649439,0.10219409033596613,41499.0,75.82251908396947,56.45801526717558,1.0,7.0,Midwest,West North Central,IA,573.795,8.265565227999547,0.015874789678540252,0.0008644791829195782,0.0875000527121453,0.00015987070571857085,0.00011904092416446101
IA,19155,1485.0,95.0,0.092,0.11599999999999999,93503.0,0.4911393217329925,0.02544303391335037,0.16540645754681668,0.07233992492219501,0.09306653262462168,0.04815487649467205,0.09514384100214204,0.1907486239527128,0.060925679889373925,0.126,0.01460915692544624,0.006748446573906721,0.07616867907981563,0.10535143852233887,11.007452158630846,0.10696982984503173,8270.0,79.37614678899081,52.66972477064221,0.0,0.0,Midwest,West North Central,IA,950.28,0.9839520983289136,0.015881843363314545,0.001016010181491503,0.08844636000983926,0.0008489155084755656,0.0005632944907718705
IA,19157,289.0,24.0,0.08199999999999999,0.10300000000000001,18605.0,0.4832034399355012,0.031066917495296963,0.19677506046761625,0.08658962644450417,0.11018543402311208,0.05962765264939461,0.10415310506444474,0.2135138653821117,0.03853664887384455,0.098,0.01854340231120666,0.021284600913732868,0.03208814834721849,0.06066649913787843,10.963722772083235,0.10486428379467884,1204.0,54.0,32.56078431372549,1.0,4.0,Midwest,West North Central,IA,584.932,0.31807116040838934,0.015533458747648481,0.001289975812953507,0.06471378661650094,0.002902445579145391,0.0017501093423125768
IA,19159,134.0,7.0,0.085,0.1,4984.0,0.4879614767255217,0.04775280898876405,0.24097110754414125,0.10453451043338684,0.13643659711075445,0.04306459689534301,0.09914872308462694,0.22784176264396594,0.03405107661492238,0.11,0.0006019261637239165,0.009430176565008023,0.023876404494382025,0.07254787921905517,10.837421719582878,0.1430577849117175,365.0,64.0,45.284313725490186,0.0,0.0,Midwest,West North Central,IA,535.498,0.09307224303358742,0.026886035313001606,0.0014044943820224719,0.07323434991974317,0.012841091492776886,0.009085937745884868
IA,19161,151.0,14.0,0.076,0.091,9868.0,0.4882448317794893,0.03830563437373328,0.2284150790433725,0.09951357924604784,0.12890149979732468,0.04671399129837417,0.09457293336386537,0.1907487978016945,0.034806503320357216,0.078,0.006485610052695582,0.0008107012565869478,0.02867855695176328,0.07203572750091553,10.991914816145874,0.09150790433725173,1039.0,51.21078431372549,29.044117647058826,0.0,0.0,Midwest,West North Central,IA,575.012,0.17161380979875204,0.015301986218078639,0.0014187271990271585,0.10528982569922983,0.00518958089924255,0.0029432628341162165
IA,19163,2800.0,152.0,0.08900000000000001,0.11699999999999999,172288.0,0.4905449015601783,0.02094167904903417,0.15330144873699852,0.06775863670133729,0.08554281203566122,0.0573218948153674,0.09600895188362553,0.19070496083550914,0.045490488623647886,0.101,0.07464826337295691,0.027152210252600298,0.06599414933135216,0.0717142391204834,11.093219434571722,0.1161775631500743,14110.0,110.77777777777777,64.91067538126362,1.0,27.0,Midwest,West North Central,IA,458.089,3.7610158724614653,0.0162518573551263,0.0008822436849925706,0.08189775260029718,0.0006429802294865445,0.00037675679897185884
IA,19165,203.0,24.0,0.075,0.091,11694.0,0.4904224388575338,0.041046690610569515,0.22267829656233967,0.09936719685308704,0.1233110997092526,0.0535077288941736,0.1101862861672612,0.19659135949266746,0.04181529924692826,0.105,0.008209338122113904,0.003164015734564734,0.028390627672310587,0.07576493263244628,11.010365585621269,0.08294852060885924,951.0,72.5,46.80392156862745,0.0,0.0,Midwest,West North Central,IA,590.779,0.1979420392397157,0.017359329570720027,0.002052334530528476,0.08132375577219086,0.006199760560971438,0.004002387683310026
IA,19167,332.0,44.0,0.053,0.066,34825.0,0.5021392677674085,0.02452261306532663,0.14885857860732232,0.06601579325197415,0.08284278535534817,0.032056551043892816,0.0659214203518001,0.1370212066414598,0.023179352293276344,0.056,0.003560660445082556,0.007121320890165111,0.10495333811916728,0.09756333351135255,11.178375379831667,0.06524048815506102,4345.0,69.6,54.96470588235293,1.0,106.0,Midwest,West North Central,IA,768.332,0.45325458265437335,0.009533381191672649,0.0012634601579325198,0.12476669059583632,0.001998564249820531,0.0015783117267007302
IA,19169,916.0,31.0,0.085,0.10400000000000001,96922.0,0.5208724541383793,0.015806524834402917,0.1132044324302016,0.05009182641711892,0.06311260601308269,0.10086246272065344,0.1446304306940004,0.25793277627018457,0.01765227437599076,0.063,0.018860527021728808,0.0771445079548503,0.03362497678545635,0.028438165187835693,11.068994958386819,0.1416293514372382,8008.0,74.57142857142857,55.462184873949575,1.0,1340.0,Midwest,West North Central,IA,572.818,1.692020851300064,0.009450898660778771,0.000319844823672644,0.08262314025711397,0.0007693963039498624,0.000572235249726064
IA,19171,197.0,55.0,0.086,0.106,17136.0,0.4958566760037349,0.03297152194211018,0.1916433239962652,0.08648459383753501,0.10515873015873016,0.0461880088823094,0.0932642487046632,0.2044411547002221,0.04100666173205033,0.087,0.00834500466853408,0.00338468720821662,0.09226190476190477,0.08726333618164063,10.938112279371822,0.1265172735760971,1756.0,62.4,42.792156862745095,0.0,0.0,Midwest,West North Central,IA,721.011,0.23766627693613554,0.011496265172735762,0.0032096171802054154,0.10247432306255835,0.0036414565826330533,0.0024972080335402135
IA,19173,62.0,9.0,0.084,0.102,6201.0,0.5108853410740203,0.03596194162231898,0.21883567166586035,0.10127398806644088,0.11756168359941944,0.05245283018867925,0.10264150943396226,0.22641509433962265,0.04113207547169812,0.1,0.0024189646831156266,0.00709562973713917,0.07934204160619256,0.09824150085449221,10.849531242559634,0.12143202709240444,544.0,42.911764705882355,26.14705882352941,0.0,0.0,Midwest,West North Central,IA,531.902,0.11658162593861274,0.009998387356877922,0.001451378809869376,0.08772778584099339,0.006920136220913136,0.004216587457430965
IA,19175,222.0,19.0,0.113,0.13699999999999998,12453.0,0.4868706335822693,0.03621617280976472,0.1967397414277684,0.08889424235124066,0.10784549907652774,0.05179052753176743,0.1313053523296111,0.26646130150173275,0.05487100500577589,0.12,0.005059021922428329,0.013169517385368987,0.029310206375973664,0.09740490913391113,10.876423233116236,0.11507267325142535,1027.0,56.0,41.950980392156865,0.0,0.0,Midwest,West North Central,IA,423.645,0.2939489431009454,0.017827029631414117,0.001525736770256163,0.08247008752910945,0.004496908375491849,0.0033687449122425813
