state,countyFIPS,total_pop,perc_poverty,ln_medincome
AL,1085,10236,0.24960922235248142,10.432054857778276
AL,1087,19054,0.2528078093838564,10.442346543814823
AL,1089,357560,0.11687269269493232,11.136179000443898
AL,1091,19538,0.23548981472003275,10.567154427773565
AL,1093,29965,0.16295678291339896,10.70716934002763
AL,1095,95145,0.15753849387776553,10.797798488802224
AL,1097,414659,0.17311574088588455,10.809566319333866
AL,1099,21512,0.2217367050948308,10.596759725284224
AL,1101,226941,0.15099959901472187,10.872579441401411
AL,1103,119122,0.13554171353738184,10.9032918846381
AL,1105,9486,0.2928526249209361,10.294583246676991
AL,1107,20298,0.2157848063848655,10.602840437817578
AL,1109,33403,0.20183815824925905,10.627915353129104
AL,1111,22574,0.17303092052804112,10.667139793981427
AL,1113,58213,0.18592067064057857,10.684416646479606
AL,1115,87306,0.11201979245412687,11.088323407952855
AL,1117,211261,0.0635611873464577,11.261909563554315
AL,1119,12985,0.32306507508663845,10.282232159944682
AL,1121,80565,0.16540681437348725,10.773084920418098
AL,1123,40636,0.15604390195885423,10.760028280004509
AL,1125,206213,0.15627530757032776,10.864885484309047
AL,1127,64493,0.16803374009582436,10.736201004154935
AL,1129,16643,0.18013579282581266,10.796796208018359
AL,1131,10809,0.30798408733462856,10.341677965256997
AL,1133,23875,0.16259685863874346,10.617098906228428
AK,2013,3425,0.14364963503649636,11.111297983743281
AK,2016,5750,0.072,11.347177799297308
AK,2020,296112,0.08995245042416383,11.32069901629074
AK,2050,18040,0.23553215077605322,10.784399780508467
AK,2060,890,0.0898876404494382,11.384523750165704
AK,2068,2232,0.05913978494623656,11.270012785798727
AK,2070,4975,0.17748743718592966,10.958426563414267
AK,2090,99653,0.06679176743299248,11.212846872181895
AK,2100,2518,0.09809372517871326,11.0436895409634
AK,2105,2132,0.1575984990619137,10.880704037352777
AK,2110,32330,0.06034642746674915,11.355323837466711
AK,2122,58220,0.10247337684644452,11.136412178811831
AK,2130,13804,0.09294407418139669,11.234612696522394
AK,2150,13649,0.06659828558868781,11.285635830519562
AK,2158,8198,0.2704318126372286,10.473591009252495
AK,2164,1375,0.2,10.853077654811209
AK,2170,103464,0.09802443361942319,11.236592085141899
AK,2180,9925,0.20483627204030228,10.976166459177733
AK,2185,9797,0.11319791772991732,11.347862124732544
AK,2188,7734,0.23338505301267132,11.02939070144014
AK,2195,3255,0.06728110599078341,11.174595503846902
AK,2198,6474,0.16759345072598084,10.820757804523783
AK,2220,8738,0.07690547035934997,11.29799806842736
AK,2230,1061,0.04429783223374175,11.223882466879106
AK,2240,6876,0.11969168121000581,11.151180547551608
AK,2261,9301,0.08396946564885496,11.219547199973567
AK,2275,2484,0.0966183574879227,11.042857833676406
AK,2282,689,0.12336719883889695,11.028206088288718
AK,2290,5415,0.2337950138504155,10.646923773389242
AZ,4001,71522,0.3310869382847236,10.474071540672949
AZ,4003,126279,0.15974152471907443,10.792407087614151
AZ,4005,140217,0.14846273989601833,10.97337452485014
AZ,4007,53400,0.21009363295880149,10.735961798317172
AZ,4009,37879,0.19026373452308667,10.8333852878165
AZ,4011,9504,0.09217171717171717,11.128233101677333
AZ,4012,20701,0.22187333945220036,10.581698744480091
AZ,4013,4253913,0.12686437169730552,11.136543317753729
AZ,4015,206064,0.16103249475890985,10.814001631632829
AZ,4017,108705,0.25242629133894484,10.613393516911028
AZ,4019,1019722,0.140096026171839,10.935781960166588
AZ,4021,419721,0.1262147950662464,11.035969725711853
AZ,4023,46584,0.18650180319422976,10.774341491401676
AZ,4025,224645,0.12395112288277059,10.90121079509082
AZ,4027,207829,0.2010402783057225,10.758413388658699
AR,5001,18124,0.14974619289340102,10.869311029940775
AR,5003,20537,0.17543945074743147,10.773608683563433
AR,5005,41219,0.127319925277178,10.644233711895351
AR,5007,258980,0.0946984323113754,11.1672611099801
AR,5009,37288,0.149431452478009,10.821436908133153
AR,5011,10948,0.221592985020095,10.596184631815689
AR,5013,5202,0.14821222606689735,10.787564962045632
AR,5015,27887,0.14766737189371393,10.688324731580726
AR,5017,10826,0.26787363753925736,10.519051498437694
AR,5019,22385,0.1773955773955774,10.694328433692867
AR,5021,15061,0.178673394860899,10.613639331911896
AR,5023,25230,0.13682124455013872,10.741038061468451
AR,5025,8226,0.13129102844638948,10.892526761440571
AR,5027,23892,0.1887242591662481,10.668117834717938
AR,5029,20906,0.15378360279345643,10.756284550625612
AR,5031,105701,0.16991324585387083,10.774069368316633
AR,5033,62472,0.18305800998847482,10.705489138008156
AR,5035,49013,0.21463693305857628,10.644853305366548
AR,5037,16998,0.169078715142958,10.72046610728666
AR,5039,7432,0.1669806243272336,10.628956704558197
AR,5041,11887,0.24051484815344493,10.518808317631567
AR,5043,18502,0.1724678413144525,10.695619969780495
AR,5045,122416,0.1426202457195138,10.976474293565264
AR,5047,17780,0.15916760404949382,10.729196906179045
AR,5049,12139,0.17868028667929814,10.402017898207967
AR,5051,98296,0.16818588752339872,10.731733646517688
AR,5053,18086,0.12103284308304767,10.97790960240302
AR,5055,44623,0.15518902807968984,10.759985816257926
AR,5057,22018,0.17849032609682985,10.618078170389724
AR,5059,33520,0.1886038186157518,10.733348556411896
AR,5061,13389,0.1625214728508477,10.631688121153461
AR,5063,37264,0.15704164877629884,10.776933411917968
AR,5065,13559,0.1477247584630135,10.60244283337905
AR,5067,17225,0.1923367198838897,10.561939763299186
AR,5069,70424,0.21217198682267407,10.610414356504446
