death14_sum,death15_sum,death16_sum,death17_sum,death18_sum,countyFIPS,statecode,countyname,coviddeath_may21,alldeath_may21,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,death14_pop,death15_pop,death16_pop,death17_pop,death18_pop,death20_pop,avgdeath_pop,excessmortal_final
853,862,858,821,843,36053,NY,Madison County,89.0,830.0,72251,71779,71426,70993,71180,70875,70478,0.011806064967958921,0.012009083436659747,0.012012432447568113,0.011564520445677743,0.011843214386063502,0.01177672465166435,0.011847063136785605,-0.0059372085983784035
9233,9246,9215,9400,9492,36055,NY,Monroe County,1532.0,12606.0,747583,745847,744150,743528,744239,742605,740900,0.012350468108557847,0.012396644351991762,0.012383256063965599,0.012642429067903294,0.012753967475501822,0.017014441894992578,0.012505353013584065,0.36057269846844553
825,860,818,808,810,36057,NY,Montgomery County,119.0,925.0,49689,49576,49242,49203,49502,49355,49170,0.01660327235404214,0.017347103437147005,0.016611835425043662,0.01642176290063614,0.016362975233323907,0.018812283912955054,0.01666938987003857,0.12855263807634057
15100,15334,15381,15353,15264,36059,NY,Nassau County,4781.0,20874.0,1354851,1354987,1356067,1357260,1357423,1356073,1351334,0.011145136992923944,0.011316713739689016,0.011342359927643693,0.011311760458570944,0.011244836723703666,0.015446958338945072,0.011272161568506254,0.37036346090912603
14015,14054,13769,13965,14103,36061,NY,New York County,5806.0,24594.0,1631733,1637327,1636721,1632337,1632393,1632326,1611989,0.008589027739219591,0.008583502257032347,0.00841255168107454,0.008555218683396872,0.008639463658567515,0.015256927931890355,0.008555952803858171,0.7831944941316746
3252,3316,3449,3356,3354,36063,NY,Niagara County,298.0,3225.0,213331,212391,211555,210911,210300,209563,208396,0.015243916730339238,0.0156127142863869,0.016303089031221196,0.015911924935162226,0.01594864479315264,0.015475345016219121,0.015804057955252436,-0.020799274462548267
3528,3601,3520,3613,3637,36065,NY,Oneida County,603.0,4222.0,232634,231315,230372,229980,229431,228240,227346,0.015165453029221869,0.01556751615762056,0.01527963467782543,0.015710061744499522,0.015852260592509295,0.018570812769962964,0.015514985240335335,0.19695974454962364
6047,6175,6140,6010,5995,36067,NY,Onondaga County,986.0,8466.0,467472,466320,464139,461843,461890,460870,459214,0.012935534106855598,0.013241979756390462,0.013228795684051544,0.013013080202579665,0.012979280781138367,0.018435849081256235,0.013079734106203129,0.40949723683701966
1472,1494,1501,1507,1549,36069,NY,Ontario County,141.0,1555.0,109378,109324,109348,109652,109962,109984,110091,0.013457916582859442,0.013665800739087483,0.013726817134286863,0.013743479371101302,0.014086684491005984,0.014124678674914388,0.013736139663668216,0.028285895510646974
3752,3799,3832,3852,3924,36071,NY,Orange County,862.0,4631.0,374945,375911,377894,379896,382411,384950,385234,0.01000680099747963,0.010106115543306793,0.010140409744531535,0.010139617158380188,0.010261211105329083,0.012021264997378217,0.010130830909805447,0.18660207680922336
