countyFIPS,state,total_hh,perc_inc10less,perc_inc15less,perc_inc25less,perc_SSI,perc_SNAP
31037,Nebraska,3718,0.03442711135018827,0.07638515330823023,0.16917697686928457,0.0228617536309844,0.083
31039,Nebraska,3752,0.04664179104477612,0.08208955223880597,0.1681769722814499,0.02185501066098081,0.053
31041,Nebraska,4846,0.05695418902187371,0.10235245563351217,0.20326042096574495,0.05654147750722245,0.07400000000000001
31043,Nebraska,7456,0.06598712446351931,0.11158798283261803,0.19796137339055794,0.03540772532188841,0.129
31045,Nebraska,3623,0.08473640629312724,0.12227435826662987,0.22412365443003035,0.04112613855920508,0.066
31047,Nebraska,8997,0.043014338112704234,0.07613648994109147,0.18961876180949205,0.031232633099922195,0.09300000000000001
31049,Nebraska,824,0.03762135922330097,0.08009708737864078,0.21480582524271843,0.04975728155339806,0.1
31051,Nebraska,2311,0.04586758978797058,0.10082215491129382,0.17827780181739505,0.028991778450887063,0.07200000000000001
31053,Nebraska,15289,0.06507946889920858,0.11276080842435739,0.2047223494015305,0.04473804696186801,0.113
31055,Nebraska,215787,0.06105094375472109,0.10217019560955942,0.18629481850157795,0.04203218914948537,0.10300000000000001
31057,Nebraska,865,0.05317919075144509,0.13179190751445086,0.2184971098265896,0.048554913294797684,0.087
31059,Nebraska,2510,0.05936254980079681,0.11553784860557768,0.2147410358565737,0.052191235059760956,0.077
31061,Nebraska,1354,0.05243722304283604,0.0930576070901034,0.21565731166912852,0.04357459379615953,0.085
31063,Nebraska,1116,0.05913978494623656,0.1111111111111111,0.21774193548387097,0.035842293906810034,0.059000000000000004
31065,Nebraska,2142,0.08123249299719888,0.1330532212885154,0.23529411764705882,0.034080298786181136,0.079
31067,Nebraska,9160,0.05,0.10513100436681223,0.21462882096069869,0.05655021834061135,0.098
31069,Nebraska,871,0.08381171067738231,0.1251435132032147,0.21469575200918484,0.02640642939150402,0.068
31071,Nebraska,886,0.050790067720090294,0.13544018058690746,0.23137697516930023,0.04966139954853273,0.065
31073,Nebraska,877,0.04104903078677309,0.05815279361459521,0.14367160775370583,0.046750285062713795,0.031
31075,Nebraska,293,0.07849829351535836,0.11262798634812286,0.27303754266211605,0.017064846416382253,0.034
31077,Nebraska,1034,0.07446808510638298,0.11992263056092843,0.2253384912959381,0.03481624758220503,0.033
31079,Nebraska,22870,0.05609969392216878,0.10406646261477918,0.21123742894621775,0.0444687363358111,0.121
31081,Nebraska,3699,0.02541227358745607,0.032981886996485535,0.11435523114355231,0.0202757502027575,0.042
31083,Nebraska,1521,0.05325443786982249,0.09993425378040763,0.22616699539776464,0.029585798816568046,0.055
31085,Nebraska,413,0.07506053268765134,0.1549636803874092,0.2397094430992736,0.03389830508474576,0.046
31087,Nebraska,1209,0.06120760959470637,0.13895781637717122,0.2564102564102564,0.04797353184449959,0.08900000000000001
31089,Nebraska,4435,0.040811724915445324,0.09740698985343856,0.2015783540022548,0.027733934611048477,0.028999999999999998
31091,Nebraska,319,0.034482758620689655,0.16927899686520376,0.219435736677116,0.018808777429467086,0.047
31093,Nebraska,2684,0.045454545454545456,0.09575260804769002,0.19634873323397914,0.03614008941877794,0.07400000000000001
31095,Nebraska,3283,0.07828205909229363,0.14498933901918976,0.278708498324703,0.061529089247639356,0.09699999999999999
31097,Nebraska,1820,0.04395604395604396,0.09395604395604396,0.2164835164835165,0.04835164835164835,0.085
31099,Nebraska,2682,0.05779269202087994,0.09134973900074571,0.1517524235645041,0.0488441461595824,0.064
31101,Nebraska,3844,0.06087408949011446,0.14177939646201873,0.25988553590010405,0.037721123829344436,0.069
31103,Nebraska,326,0.03374233128834356,0.06134969325153374,0.13803680981595093,0.012269938650306749,0.015
31105,Nebraska,1571,0.05537873965626989,0.11394016549968174,0.267982176957352,0.036919159770846595,0.099
31107,Nebraska,3674,0.05743059335873707,0.1175830157866086,0.22046815459989114,0.03647250952640174,0.073
31109,Nebraska,122646,0.05245992531350391,0.09361088009392887,0.18855078844805376,0.034644423788790506,0.083
31111,Nebraska,14985,0.07640974307640974,0.11785118451785119,0.2082082082082082,0.060927594260927594,0.109
31113,Nebraska,341,0.020527859237536656,0.06451612903225806,0.15249266862170088,0.04398826979472141,0.038
31115,Nebraska,279,0.017921146953405017,0.06810035842293907,0.26523297491039427,0.035842293906810034,0.011000000000000001
31117,Nebraska,203,0.054187192118226604,0.1724137931034483,0.27586206896551724,0.009852216748768473,0.03
31119,Nebraska,14254,0.06959449978953276,0.1265609653430616,0.22365651746878068,0.0530377437912165,0.102
31121,Nebraska,3324,0.04271961492178099,0.10709987966305656,0.20126353790613719,0.04723225030084236,0.075
31123,Nebraska,1982,0.04238143289606458,0.09434914228052473,0.20181634712411706,0.029263370332996974,0.09699999999999999
31125,Nebraska,1546,0.0666235446313066,0.13583441138421734,0.26390685640362227,0.037516170763260026,0.106
31127,Nebraska,2877,0.04553354188390685,0.09593326381647549,0.22766770941953424,0.031977754605491834,0.07200000000000001
31129,Nebraska,1914,0.03343782654127482,0.10762800417972831,0.25757575757575757,0.03082549634273772,0.075
31131,Nebraska,6452,0.04355238685678859,0.07393056416615003,0.1873837569745815,0.03301301921884687,0.08900000000000001
31133,Nebraska,1219,0.054142739950779326,0.14109926168990977,0.2945036915504512,0.06070549630844955,0.067
